id,title,author,isbn,annual circs
333,Bathrooms /,"Cahill, Coleen.",9781567999280,84
334,Nutcracker /,"Hoffmann, E. T. A.",9780517552858,23
335,Forever flying :,"Hoover, R. A.",9780671537609,23
336,Falconer's judgement /,"Morson, Ian Nairne.",9780312139711,19
337,Inheritance :,"Baker, Keith",9780688153212,37
338,Sootface :,"San Souci, Robert D.",9780385312028,53
339,"Harriet, you'll drive me wild /","Fox, Mem,",9780152019778,113
340,Clark Gable :,"Harris, Warren G.",9780609604953,45
342,Secrets of six-figure women :,"Stanny, Barbara.",9780060185480,46
343,The moneychangers /,"Hailey, Arthur.",9780385008969,43
344,Nothing makes you free :,,9780393050462,13
345,The search for self-respect.,"Maltz, Maxwell,",9780448012933,18
346,On a night like this /,"Sussman, Ellen,",9780446531412,17
348,Charles Darwin and the evolution revolution /,"Stefoff, Rebecca,",9780195089967,49
349,Last scene alive /,"Harris, Charlaine.",9780312262464,58
351,Mary's land /,"Robson, Lucia St. Clair.",9780345371966,45
352,Stone kiss:,"Kellerman, Faye.",9780446530781,93
353,Grave concerns /,"Tope, Rebecca.",9780312281274,17
354,Riverside Drive :,"Van Wormer, Laura,",9780385244671,86
355,Saving your brain :,"Victoroff, Jeffrey Ivan.",9780553109443,36
356,A time to kill ,"Grisham, John.",9780385470780,108
357,Material witness /,"Tanenbaum, Robert.",9780525935797,72
358,Face down upon an herbal /,"Emerson, Kathy Lynn.",9780312180928,42
359,Healthy crockery cookery /,"Hoffman, Mable,",9781557882905,113
360,Here we all are /,"DePaola, Tomie,",9780399234965,44
361,Chicago blues /,"Holton, Hugh.",9780312859848,27
362,The Saint John's fern :,"Sedley, Kate.",9780312276836,41
363,Winning softball for girls /,"Gola, Mark.",9780816047093,35
364,Don't look back /,"Fossum, Karin,",9780151010325,47
365,Look away! :,"Davis, William C.,",9780684865850,17
366,A short history of the Civil War /,"Stokesbury, James L.",9780688115234,41
367,Fade to black /,"Staub, Wendy Corsi.",9781575662855,47
368,"If I asked you, would you stay? /","Bunting, Eve,",9780397320653,
369,The Hindenburg /,"O'Brien, Patrick,",9780805064155,38
370,Farther than any man :,"Dugard, Martin.",9780743400688,21
371,Cherry :,"Karr, Mary.",9780670892747,36
372,Midnight whispers ,"Matthews, Patricia,",9780896215825,32
373,Where is the mango princess? /,"Crimmins, C. E.",9780375404917,43
374,The essential mystics :,,9780785809043,23
376,Essential Tibetan Buddhism /,"Thurman, Robert A. F.",9780785808725,40
377,Demonic males :,"Wrangham, Richard W.,",9780395690017,16
378,Briefing for a descent into Hell,"Lessing, Doris May,",9780394421988,6
379,Big Wolf and Little Wolf /,"Denslow, Sharon Phillips.",9780688161743,128
380,A baby's coming to your house! /,"Thomas, Shelley Moore.",9780807505021,12
381,Behind the scenes at the museum :,"Atkinson, Kate.",9780312139285,124
382,The dive from Clausen's pier /,"Packer, Ann,",9780375412820,19
383,Finding home /,"Kherdian, David.",9780688004002,6
384,Big Jabe /,"Nolen, Jerdine.",9780688136628,27
385,Echoes of the Mekong /,"Huchthausen, Peter A.,",9781877853418,16
387,Myst :,"Miller, Rand.",9780786861590,56
388,Rising sun :,"Crichton, Michael,",9780679410171,86
389,The book of Abraham /,"Halter, Marek.",9780030718878,35
390,My wars are laid away in books :,"Habegger, Alfred.",9780679449867,22
392,Shakespeare's landlord /,"Harris, Charlaine.",9780312144159,91
394,The Mediterranean kitchen /,"Goldstein, Joyce Esersky.",9780688072834,50
395,Par Lagerkvist /,"Sjoberg, Leif.",9780231031035,
396,The canary trainer :,"Meyer, Nicholas.",9780393036084,25
397,Confessions of a sociopathic social climber :,"Lang, Adele.",9780312288112,28
398,Listening woman /,"Hillerman, Tony.",9780060119010,57
399,Among the heroes :,"Longman, Jere.",9780060099084,20
400,Death of a dustman /,"Beaton, M. C.",9780892966318,83
401,Living Zen /,"Linssen, Robert.",9780802131362,39
402,Don't call me Beanhead! /,"Wojciechowski, Susan.",9781564023193,103
403,In a strange city /,"Lippman, Laura,",9780380978182,85
404,Dust to dust /,"Hoag, Tami.",9780553106343,85
405,Beyond valor :,"O'Donnell, Patrick K.,",9780684873848,36
406,"Red cat, white cat /","Mandel, Peter,",9780805029291,90
407,Space Dog and Roy /,"Standiford, Natalie.",9780679889038,88
408,The dance of connection :,"Lerner, Harriet Goldhor.",9780060196387,50
409,2nd chance,"Patterson, James,",9780316695978,114
410,Codex /,"Grossman, Lev.",9780151010660,32
411,The dig /,"Foster, Alan Dean,",9780446518536,44
412,Hitler and Stalin :,"Bullock, Alan,",9780394586014,27
413,The ersatz elevator : a series of unfortunate events ; bk. 6 /,"Snicket, Lemony.",9780060288891,36
414,Perloo the bold /,"Avi,",9780590110020,10
415,Bobby Fischer goes to war :,"Edmonds, David,",9780060510244,14
417,Heart of the night /,"Delinsky, Barbara.",9780446530965,98
418,A better woman :,"Johnson, Susan,",9780743432962,16
419,Her mother's shadow /,"Chamberlain, Diane,",9780778320173,75
420,Life or death--who controls? /,,9780826120205,37
421,1001 things everyone should know about the universe /,"Gutsch, William A.",9780385482233,51
422,The life and works of Gainsborough /,"Doeser, Linda.",9780831738143,10
423,Spider Storch's music mess /,"Willner-Pardo, Gina.",9780807575833,115
424,American Jezebel :,"LaPlante, Eve.",9780060562335,13
425,Border crossing /,"Barker, Pat,",9780374181154,34
426,Life sentence /,"Ellis, David,",9780399149795,48
427,The mystery of King Karfu /,"Cushman, Doug.",9780060247966,90
428,"Men are from Mars, women are from Venus :","Gray, John,",9780060168483,9
429,First impressions :,"Demarais, Ann.",9780553803204,54
431,Murder at the altar /,"Heley, Veronica.",9780002740739,73
432,An identification guide to cat breeds /,"Caravan, Jill.",9780831748197,68
433,Destination: Space /,"Simon, Seymour.",9780688162894,71
434,Spider Storch's teacher torture /,"Willner-Pardo, Gina.",9780807575772,109
